File Path	chrom://mascot-server/ChromeleonLocal/Raw Data/Users/Jenifer Hendel/2018/Vtag3.seq/801.smp/ACQUITY FLR ChA.channel/ACQUITY FLR ChA.chm
Channel	ACQUITY FLR ChA

Injection Information:
Data Vault	ChromeleonLocal
Injection	IgG Vtag 9
Injection Number	10
Position	
Comment	$$ 2.1 vial 2:B,2 injection 1
Processing Method	New Processing Method
Instrument Method	
Type	Unknown
Status	Finished
Injection Date	11/05/2018
Injection Time	15:31:42
Injection Volume (µL)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000000
Data Points	7801
Detector	
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.2.0
Operator	Simon.Peel
Signal Quantity	Response
Signal Unit	EU
Signal Min.	-0.252554
Signal Max.	29.108578
Channel	ACQUITY FLR ChA
Driver Name	AnDI Import Plug-in
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	techCHROM

Chromatogram Data:
Time (min)	Step (s)	Value (EU)
5.341667	0.5	0.089829
5.350000	0.5	0.087485
5.358333	0.5	0.089048
5.366667	0.5	0.091782
5.375000	0.5	0.093930
5.383333	0.5	0.093540
5.391667	0.5	0.090219
5.400000	0.5	0.084555
5.408333	0.5	0.077719
5.416667	0.5	0.070884
5.425000	0.5	0.067173
5.433333	0.5	0.067368
5.441667	0.5	0.070884
5.450000	0.5	0.077134
5.458333	0.5	0.082993
5.466667	0.5	0.087485
5.475000	0.5	0.089243
5.483333	0.5	0.090024
5.491667	0.5	0.090219
5.500000	0.5	0.090610
5.508333	0.5	0.091196
5.516667	0.5	0.092173
5.525000	0.5	0.092173
5.533333	0.5	0.090415
5.541667	0.5	0.085727
5.550000	0.5	0.077524
5.558333	0.5	0.068735
5.566667	0.5	0.066001
5.575000	0.5	0.070298
5.583333	0.5	0.078110
5.591667	0.5	0.082798
5.600000	0.5	0.083774
5.608333	0.5	0.082407
5.616667	0.5	0.082212
5.625000	0.5	0.082993
5.633333	0.5	0.084360
5.641667	0.5	0.086313
5.650000	0.5	0.087290
5.658333	0.5	0.086118
5.666667	0.5	0.081235
5.675000	0.5	0.075376
5.683333	0.5	0.072837
5.691667	0.5	0.073618
5.700000	0.5	0.074594
5.708333	0.5	0.074009
5.716667	0.5	0.071860
5.725000	0.5	0.072251
5.733333	0.5	0.074985
5.741667	0.5	0.076548
5.750000	0.5	0.073032
5.758333	0.5	0.063266
5.766667	0.5	0.052524
5.775000	0.5	0.045493
5.783333	0.5	0.044126
5.791667	0.5	0.047641
5.800000	0.5	0.054868
5.808333	0.5	0.064243
5.816667	0.5	0.068930
5.825000	0.5	0.069712
5.833333	0.5	0.065805
5.841667	0.5	0.062485
5.850000	0.5	0.058969
5.858333	0.5	0.058969
5.866667	0.5	0.058969
5.875000	0.5	0.057212
5.883333	0.5	0.054087
5.891667	0.5	0.050571
5.900000	0.5	0.049594
5.908333	0.5	0.052134
5.916667	0.5	0.056040
5.925000	0.5	0.056821
5.933333	0.5	0.053696
5.941667	0.5	0.048813
5.950000	0.5	0.047251
5.958333	0.5	0.051548
5.966667	0.5	0.059360
5.975000	0.5	0.066587
5.983333	0.5	0.069126
5.991667	0.5	0.067173
6.000000	0.5	0.062485
6.008333	0.5	0.055844
6.016667	0.5	0.049790
6.025000	0.5	0.044321
6.033333	0.5	0.041001
6.041667	0.5	0.040805
6.050000	0.5	0.042759
6.058333	0.5	0.046665
6.066667	0.5	0.050376
6.075000	0.5	0.053305
6.083333	0.5	0.054868
6.091667	0.5	0.055063
6.100000	0.5	0.053891
6.108333	0.5	0.051548
6.116667	0.5	0.047446
6.125000	0.5	0.042173
6.133333	0.5	0.036899
6.141667	0.5	0.034555
6.150000	0.5	0.036118
6.158333	0.5	0.039829
6.166667	0.5	0.042563
6.175000	0.5	0.044126
6.183333	0.5	0.045493
6.191667	0.5	0.048618
6.200000	0.5	0.054087
6.208333	0.5	0.058188
6.216667	0.5	0.058969
6.225000	0.5	0.056430
6.233333	0.5	0.052524
6.241667	0.5	0.051157
6.250000	0.5	0.053110
6.258333	0.5	0.057602
6.266667	0.5	0.061509
6.275000	0.5	0.059946
6.283333	0.5	0.055063
6.291667	0.5	0.050376
6.300000	0.5	0.049399
6.308333	0.5	0.053501
6.316667	0.5	0.060532
6.325000	0.5	0.066196
6.333333	0.5	0.067563
6.341667	0.5	0.064829
6.350000	0.5	0.060532
6.358333	0.5	0.057212
6.366667	0.5	0.056040
6.375000	0.5	0.056821
6.383333	0.5	0.058969
6.391667	0.5	0.061899
6.400000	0.5	0.061899
6.408333	0.5	0.056235
6.416667	0.5	0.045688
6.425000	0.5	0.033579
6.433333	0.5	0.026157
6.441667	0.5	0.027915
6.450000	0.5	0.038071
6.458333	0.5	0.050376
6.466667	0.5	0.059555
6.475000	0.5	0.065805
6.483333	0.5	0.069321
6.491667	0.5	0.070884
6.500000	0.5	0.069516
6.508333	0.5	0.066196
6.516667	0.5	0.063852
6.525000	0.5	0.063852
6.533333	0.5	0.064829
6.541667	0.5	0.064243
6.550000	0.5	0.062290
6.558333	0.5	0.063462
