File Path	chrom://mascot-server/ChromeleonLocal/Raw Data/Users/Jenifer Hendel/2018/Vtag3.seq/486.smp/ACQUITY FLR ChA.channel/ACQUITY FLR ChA.chm
Channel	ACQUITY FLR ChA

Injection Information:
Data Vault	ChromeleonLocal
Injection	IgG Vtag 6
Injection Number	7
Position	
Comment	$$ 2.1 vial 2:A,7 injection 1
Processing Method	New Processing Method
Instrument Method	
Type	Unknown
Status	Finished
Injection Date	11/05/2018
Injection Time	12:12:38
Injection Volume (µL)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000000
Data Points	7801
Detector	
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.2.0
Operator	Simon.Peel
Signal Quantity	Response
Signal Unit	EU
Signal Min.	-0.261689
Signal Max.	27.112921
Channel	ACQUITY FLR ChA
Driver Name	AnDI Import Plug-in
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	techCHROM

Chromatogram Data:
Time (min)	Step (s)	Value (EU)
3.358333	0.5	0.080303
3.366667	0.5	0.080498
3.375000	0.5	0.085186
3.383333	0.5	0.093779
3.391667	0.5	0.103350
3.400000	0.5	0.108623
3.408333	0.5	0.110967
3.416667	0.5	0.111162
3.425000	0.5	0.111748
3.433333	0.5	0.114482
3.441667	0.5	0.119365
3.450000	0.5	0.127178
3.458333	0.5	0.132451
3.466667	0.5	0.133233
3.475000	0.5	0.129717
3.483333	0.5	0.125615
3.491667	0.5	0.126201
3.500000	0.5	0.132061
3.508333	0.5	0.141631
3.516667	0.5	0.148272
3.525000	0.5	0.150615
3.533333	0.5	0.149248
3.541667	0.5	0.145342
3.550000	0.5	0.139092
3.558333	0.5	0.131084
3.566667	0.5	0.123076
3.575000	0.5	0.117412
3.583333	0.5	0.116240
3.591667	0.5	0.118975
3.600000	0.5	0.122295
3.608333	0.5	0.123662
3.616667	0.5	0.121318
3.625000	0.5	0.116631
3.633333	0.5	0.110772
3.641667	0.5	0.104326
3.650000	0.5	0.098662
3.658333	0.5	0.095342
3.666667	0.5	0.094561
3.675000	0.5	0.093389
3.683333	0.5	0.090654
3.691667	0.5	0.086162
3.700000	0.5	0.084014
3.708333	0.5	0.084990
3.716667	0.5	0.088115
3.725000	0.5	0.090264
3.733333	0.5	0.089678
3.741667	0.5	0.087139
3.750000	0.5	0.084014
3.758333	0.5	0.080303
3.766667	0.5	0.076397
3.775000	0.5	0.071709
3.783333	0.5	0.066045
3.791667	0.5	0.059014
3.800000	0.5	0.051006
3.808333	0.5	0.046904
3.816667	0.5	0.049834
3.825000	0.5	0.063311
3.833333	0.5	0.081865
3.841667	0.5	0.099639
3.850000	0.5	0.109014
3.858333	0.5	0.109404
3.866667	0.5	0.103740
3.875000	0.5	0.095928
3.883333	0.5	0.092607
3.891667	0.5	0.095537
3.900000	0.5	0.105693
